Sample me,Location,Latitude,Longitude,Sampling time (Hrs),Temperature,COND,pH ,Turb NTU,CHLA RFU,CDOM RFU,TRPN RFU,TH ppm,TSS mg/L,COD mg/L,BOD mg/L,DO mg/L,NO3 ppm,NO2 ppm,NH4 ppm,Cl ppm,Na ppm,K ppm,Ca ppm,Mg ppm,TC cfu/100ml,FC cfu/100ml
GANG_VARN_20180203_st_01,VRNS,25.28368,83.0099,7:10,19.27,710,7.52,2.7,1160,1561.2,199.8,160.2,7.6,0,3,2.5,12.82,1.33,0.84,765,46.94,7.6,11.2,1.6,280,17
GANG_VARN_20180203_st_02,VRNS,25.30997,83.01378,8:20,19.12,609,8.38,0.9,1114.8,937.2,85.2,106.8,5,10,3,6.4,10.93,0.41,0.58,8055,44.77,6.77,4.8,2.4,14,2
GANG_VARN_20180203_st_03,VRNS,25.32276,83.03352,8:50,19.17,618,8.44,0.7,1127.2,919.6,77.9,124.6,4.7,10,3,6.9,9.46,0.26,0.68,675,46.81,6.85,21.6,5.2,17,2
GDVR_NRSP_20180208_St_01,NRSP,16.44653,81.70667,8:10,25.78,15710,7.25,3.7,,,,883.2,9,20,3,1.6,4.07,0.079,2.6,1575,2653,124,14.4,31.2,80,11
GDVR_NRSP_20180208_St_02,NRSP,16.44525,81.72519,9:15,26.32,19210,7.55,2.4,,,,1297.2,7.1,10,14,2.9,5.05,1.38,0.025,5085,2781,181,14.4,49.2,2,2
GDVR_NRSP_20180208_St_03,NRSP,16.42434,81.70031,10:29,26.96,35700,8.31,1.5,,,,1738.8,5.8,20,3,3,4.19,0.043,0.296,10350,4923,207,16.8,67.2,14,2
GDVR_RJMN_20180209_St_01,RJMN,17.01438,81.76805,8:56,,178,8.22,3.1,,,,82.8,8.1,0,3,5,4.63,0.32,1.409,360,24.35,4.74,4,1.6,13,2
GDVR_RJMN_20180209_St_02,RJMN,17.02152,81.75733,9:40,,110,7.46,2.9,,,,82.8,7.8,20,3,6.6,4.59,1,1.3,225,105.1,19,4.8,1.2,2,2
GDVR_RJMN_20180209_St_03,RJMN,16.95481,81.7819,10:45,,199,6.92,3.1,,,,165.6,8.1,40,3,0.6,1.09,0.336,0.839,765,82.99,18.75,10.4,2,27,12
GDVR_NRSP_20180215_st_01,NRSP,16.44683,81.76562,7:45,26.71,23000,7.19,0.12,1122.8,1465.6,142.1,1185.8,3.9,50,10,3,6.97,0.05,0.05,10230,380.6,14.9,31.2,32.8,26,8
GDVR_NRSP_20180215_st_02,NRSP,16.44492,81.71853,9:00,27.22,42000,7.94,1.44,1122,450.8,33.7,2283.4,5.7,450,80,6,2.22,0.04,0.05,20832,1566,62,52.8,66.8,9,2
GDVR_NRSP_20180215_st_03,NRSP,16.42443,81.70024,9:55,27.34,44000,8.1,2.28,1351.2,368.2,42.2,2361.8,6.9,1100,240,5.9,2.2,0.04,0.05,22506,7862,267,25.6,83.6,17,7
GDVR_RJMN_20180216_St_01,RJMN,17.0288,81.76802,6:55,25.11,258,8.32,1.95,472.8,698.4,41.4,88.2,6.5,10,3,3,1.9,0.24,0.05,93,10.83,1.91,4,1.6,13,2
GDVR_RJMN_20180216_St_02,RJMN,16.95567,81.7497,8:32,25.45,173,8.27,0.12,307.8,286.5,35.8,176.4,3.9,0.5,3,3.4,1.41,0.013,0.05,37.2,6.75,1.55,12,1.2,4,2
GDVR_RJMN_20180216_St_03,RJMN,16.95483,81.78186,9:20,25.73,390,7.13,2.04,434.8,1546,141.4,156.8,6.6,0.5,3,2.9,2.79,1.125,0.05,111.6,23.97,7.24,8,2.4,14,4
GDVR_NRSP_20180222_St_01,NRSP,16.44664,81.70627,8:10,26.78,13060,7.15,2.5,736,1568,170.3,735,7.3,20,4,5,4.29,0.02,3.71,5776,38,39,10.4,24.8,2,2
GDVR_NRSP_20180222_St_02,NRSP,16.44515,81.72498,9:00,27.24,38200,7.64,4.2,1674.8,1010,59.3,1715,9.7,100,30,5,3.97,0.02,0.03,17484,2517,92,25.6,57.2,2,2
GDVR_NRSP_20180222_St_03,NRSP,16.43468,81.70738,9:30,27.93,48100,7.57,3.6,1316.8,596.4,50.6,2018.8,8.8,100,20,4.9,3.27,0.02,0.01,20460,4921,168,19.2,72.8,2,2
GDVR_RJMN_20180223_St_01,RJMN,17.0288,81.76799,8:05,26.08,240,7.47,2.5,524.4,1024.4,47.3,147,7.3,0,3,6.4,1.9,0.02,0.14,74.4,16.74,2.59,4.8,3.6,4.5,2
GDVR_RJMN_20180223_St_02,RJMN,17.01537,81.74011,8:50,26.09,147,7.25,3.3,176.2,255.1,32.4,245,8.4,0,3,6.5,3.17,0.02,0.01,74.4,3.71,0.98,7.2,6.4,2,2
GDVR_RJMN_20180223_St_03,RJMN,16.94985,81.7529,9:50,26.89,150,7.62,2.8,199.7,247.7,28.3,205.8,7.7,10,3,7,1.54,0.02,0.01,93,3.65,1.22,4.8,6,4,2
GDVR_RJMN_20180223_St_04,RJMN,16.57173,81.46547,10:40,27.58,290,7.42,3.2,610.7,3175.6,236.1,245,8.3,0,3,1,6.43,0.02,0.01,130.2,41.15,11.57,8.8,5.6,4.5,2
GDVR_NRSP_20180301_St_01,NRSP,16.44678,81.70569,7:40,28.32,37500,7.45,2.5,,,,1871.8,7.3,30,100,5.2,3.205,0.025,1.947,19334,646.9,26.8,18.4,67.2,7,2
GDVR_NRSP_20180301_St_02,NRSP,16.44529,81.72525,8:30,28.44,42200,7.87,2.6,1527.6,514,35.3,1891.4,7.4,60,300,5,2.778,0.022,0.022,20646,646.9,26.8,10.4,72,2,2
GDVR_NRSP_20180301_St_03,NRSP,16.43186,81.70578,9:30,28.41,45000,7.9,2.5,1034.4,426.3,33.2,1979.6,7.3,50,250,5,2.682,0.014,0.67,28458,1087.4,46.1,14.4,73.6,14,4
GANG_KOKT_20180404_St_01,KLKT,22.55672,88.32831,11:10,28.02,274,7.41,72.5,650.4,278.4,32.2,135.49,107.5,54.85,39,5.66,22,,5.4,130.2,15.58,4.52,10.4,1.6,96000,26000
GANG_KOKT_20180404_St_02,KLKT,22.58663,88.34776,11:45,27.98,273,7.37,84.8,601.2,375,39.3,103.61,125.1,27.43,15,5.7,3,,0.075,111.6,17.05,4.67,7.2,1.6,111000,51000
GANG_KOKT_20180404_St_03,KLKT,22.57883,88.34289,12:30,28.11,273,7.37,53.2,590.4,370.6,32.6,127.52,79.8,27.43,14,6.08,3.8,,0,167.4,18.06,4.83,9.6,1.6,56500,17500
GANG_KOKT_20180404_St_04,KLKT,22.54811,88.30864,13:05,28.14,273,7.37,77.9,584.8,414.8,40.4,127.52,115.2,41.14,25,5.77,3.5,,0,204.6,26.82,4.62,9.6,1.6,59000,16000
BRHP_GWHT_20180406_St_01,GWHT,26.17242,91.69816,12:35,,117,7.61,45.4,628.4,221.6,33.9,143.46,68.7,96,11.64,8.36,,,,130.2,11.6,3.06,44,14.8,,
BRHP_GWHT_20180406_St_02,GWHT,26.17824,91.69873,12:50,,,7.65,48.6,597.2,217.2,30.6,167.37,73.2,104,13.13,8.16,,,,130.2,3.82,2.53,8.8,4,,
BRHP_GWHT_20180406_St_03,GWHT,26.17242,91.69816,13:20,,116,7.58,68.1,539.6,225.8,27.3,175.34,101.2,98,12.23,8.37,,,,204.6,2.75,2.3,13.6,2,,
YUMN_NDEL_20180415_St_01,DELH,28.62759,77.25435,9:30,26.72,2120,7.57,4.5,1043.2,4218.8,292.4,191.28,10.1,500,100,0,19.23,0.011,1.762,587.4,237.4,22.7,11.2,4,920,2
YUMN_NDEL_20180415_St_02,DELH,28.56742,77.29944,11:15,29.17,1258,7.74,2.6,2205.2,6820,196.3,191.28,7.4,100,30,0.3,19.57,0.01,1.704,338.2,102.7,22,12.8,3.2,1600,6.8
YUMN_NDEL_20180416_St_03,DELH,28.70069,77.23032,9:00,26.64,2240,7.5,9.1,1098,3340,224.1,215.19,16.7,500,90,0,19.99,0.232,1.304,658.6,264.6,27.7,32.8,5.6,920,4
YUMN_NDEL_20180416_St_04,DELH,28.66579,77.23784,10:15,26.93,2040,7.43,10,1122.4,3441.6,238.3,247.07,18,100,30,0.5,18.78,0.116,1.63,551.8,240.7,23.5,45.6,10.4,1600,4
GDVR_NRSP_20180314_St_01,NRSP,16.44664,81.70578,7:50,29.09,36200,7.48,2.7,,,,236.79,7.6,200,50,1.02,3.31,0.02,2.19,18786,7571,2655,23.2,44,4.5,14
GDVR_NRSP_20180314_St_02,NRSP,16.44516,81.72498,8:40,29.12,22400,7.6,2.5,4427.2,1134,86.4,219.25,7.3,100,20,5.52,4.33,0.062,0.39,11718,5257,2597,29.6,28,4,17
GDVR_NRSP_20180314_St_03,NRSP,16.42452,81.70031,10:00,29.51,36200,7.49,2.7,1824.8,625.2,57.3,236.79,7.6,100,30,5.2,4.11,0.036,3.82,18228,11823,2745,30.4,41.2,12,21
GANG_KOKT_20180531_St_01,KLKT,22.55942,88.32714,13:04,31.34,328,7.73,14.2,514.8,323.9,39,1420,24,450,120,6.17,3.81,0.1,0.01,100,12.21,2.65,11.2,,170000,21000
GANG_KOKT_20180531_St_02,KLKT,22.59176,88.34774,13:50,31.29,338,7.75,12.5,513.2,370.4,39.8,1250,21.6,600,150,5.78,3,0.1,0.02,120,12.95,2.86,6.4,,280000,33000
GANG_KOKT_20180531_St_03,KLKT,22.613,88.3601,14:20,31.33,370,7.62,12.2,532,310.2,35.9,1220,21.1,100,20,6,3.37,0.05,0.92,120,13.9,3.02,3.2,2.4,1600000,45000
GANG_VRNS_20180605_St_01,VRNS,25.322,83.03504,12:45,32.18,680,8.37,11,3871.6,968.4,107.3,1100,19.4,100,30,12.8,1.67,0.36,0.08,120,61.66,4.89,5.6,1.2,110,22
GANG_VRNS_20180605_St_02,VRNS,25.2836,83.00994,13:45,32.21,675,7.34,8,3472.8,908,100.4,800,15.1,200,50,5.4,4.72,0.02,0.18,220,75.18,8.85,8,2,350,45
GANG_VRNS_20180605_St_03,VRNS,25.30563,83.01032,14:23,32.37,1077,6.98,26.2,4174.8,932.8,105.9,2620,41.2,100,20,12.8,1.46,0.36,10.93,160,62.52,4.68,2.4,2.4,180,26
GDVR_NRSP_20180502_St_01,NRSP,16.44703,81.70528,7:00,29.97,35000,7.42,3.8,1879.2,1608,204.7,1670,9.1,150,20,1,10.6,0.01,10.3,21000,7067,166,28.8,52.4,300,4
GDVR_NRSP_20180502_St_02,NRSP,16.44335,81.73049,7:50,30.88,30100,7.48,1.9,2852,1159.6,61.6,1570,6.4,1950,380,6,4.59,0.01,1.01,11200,2250,65,24,50.8,8,2
GDVR_NRSP_20180502_St_03,NRSP,16.42438,81.70031,9:10,30.99,51200,7.85,8.5,572,611.2,37.5,2250,15.9,350,60,6,6.14,0.01,0.37,24600,8443,201,31.2,74.4,11,2
GDVR_RJMN_20180503_St_01,RJMN,16.99905,81.76821,8:20,31.91,134,8.2,0.9,425.8,238.1,40.4,70,5,250,40,7.4,0.98,0.01,0.05,60,4.7,1.72,5.6,,1600,4
GDVR_RJMN_20180503_St_02,RJMN,17.02881,81.76802,8:40,31.08,147,7.95,0.9,502.8,407.1,46.3,70,5,150,20,8,1.17,0.01,0.05,80,9.88,1.89,5.6,,30,2
DRIN_NRSP_20180611_St_01,NRSP,16.44586,81.70757,6:01,30.35,22320,6.95,29.15,1181,1110,118.6,680,45.4,700,170,4.1,2.57,0.05,10.32,4800,206.5,63.13,10.4,22,22,6.8
DRIN_NRSP_20180611_St_02,NRSP,16.44274,81.71004,6:35,28.2,1659,6.97,75.7,652,3581.8,289.1,240,112,650,150,2.37,8.21,0.02,11.21,1200,158.87,16.84,6.4,6.4,180,32
DRIN_NRSP_20180611_St_03,NRSP,16.44208,81.70981,7:01,29.75,34300,6.83,33.22,796.1,23662.8,388.5,2070,51.2,900,190,3.02,7.86,0.02,10.41,33800,196.75,114.14,22.4,71.6,1600,220
DRIN_NRSP_20180611_St_04,NRSP,16.42684,81.70076,7:35,29.04,35800,7.04,52.38,1201,2190.1,228.5,1220,78.7,650,170,2.82,5.49,0.06,9.33,5800,196.06,113.24,24,36.8,280,20
DRIN_NRSP_20180611_St_05,NRSP,16.42412,81.69976,8:06,29.9,48700,8.05,17.58,700.5,513.8,39.2,2340,28.8,950,210,5.44,2.23,0.12,0.19,23400,192.3,110.91,28.8,79.2,14,2
DRIN_NRSP_20180611_St_06,NRSP,16.43215,81.68577,9:02,29.97,1263,7.25,83.06,1024,5030.8,272.4,220,122.6,650,160,3.01,9.44,0.02,11.91,400,95.11,14.99,7.2,5.2,95,14
DRIN_NRSP_20180611_St_07,NRSP,16.43217,81.68576,9:16,30.54,789,7.07,54.08,867.5,3447.9,278.8,230,81.1,600,130,4.1,7.51,0.02,12.73,240,50.76,30.22,9.6,4.4,140,14
DRIN_NRSP_20180611_St_08,NRSP,16.43587,81.67757,10:10,30.65,1603,7.02,28.97,1310.2,2056.2,139.5,250,45.2,850,190,2.82,3.07,0.02,5.42,620,173.69,9.54,10.4,4.8,49,11
DRIN_NRSP_20180611_St_09,NRSP,16.43875,81.69264,11:13,30.38,425,7.36,7.77,916.2,981.1,76.2,140,14.8,1400,320,4.06,1.73,0.02,0.81,160,28.68,2.99,11.2,,17,4
DRIN_NRSP_20180611_St_10,NRSP,16.4388,81.69347,11:37,30.14,814,7.06,62.04,744.9,2827,232.9,200,92.5,600,140,2.75,3.91,0.03,10.62,240,55.7,10.2,9.6,3.2,22,6.8
DRIN_NRSP_20180611_St_11,NRSP,16.43968,81.69722,12:06,30.36,813,6.62,69.65,538.7,4371.8,387.4,150,103.4,800,190,2.45,9.79,0.02,10.87,200,43.69,10.18,12.8,,1600,40
DRIN_NRSP_20180611_St_12,NRSP,16.44488,81.7018,13:02,30.6,1512,7.74,26.31,1165.2,1462.8,196.6,200,41.3,600,150,2.41,2.08,0.04,3.11,580,156.39,7.74,8,4,220,17
DRIN_NRSP_20180611_St_13,NRSP,16.44734,81.70389,13:24,30.69,6730,6.96,36.06,1076,1514.7,164,350,55.3,550,120,2.47,2.64,1.048,3.7,4200,209.94,26.71,8.8,9.6,1600,24
